"Start Time","Duration","Run ID","Name","Source Type","Source Name","User","Status","0_column_name","0_nprobe","0_rank_method","0_type","1_rank_method","1_type","benchmark","faiss_nlist","faiss_vector_fusion_embedding","table","textsearchretrieval","top_k","Animals and Pet Supplies_attribute_query_recall_at_k","Animals and Pet Supplies_basic_query_recall_at_k","Animals and Pet Supplies_natural_query_recall_at_k","Apparel and Accessories_attribute_query_recall_at_k","Apparel and Accessories_basic_query_recall_at_k","Apparel and Accessories_natural_query_recall_at_k","Arts and Entertainment_attribute_query_recall_at_k","Arts and Entertainment_basic_query_recall_at_k","Arts and Entertainment_natural_query_recall_at_k","Business and Industrial_attribute_query_recall_at_k","Business and Industrial_basic_query_recall_at_k","Business and Industrial_natural_query_recall_at_k","Furniture _attribute_query_recall_at_k","Furniture _basic_query_recall_at_k","Furniture _natural_query_recall_at_k","Health and Beauty_attribute_query_recall_at_k","Health and Beauty_basic_query_recall_at_k","Health and Beauty_natural_query_recall_at_k","Home and Garden_attribute_query_recall_at_k","Home and Garden_basic_query_recall_at_k","Home and Garden_natural_query_recall_at_k","Office Supplies_attribute_query_recall_at_k","Office Supplies_basic_query_recall_at_k","Office Supplies_natural_query_recall_at_k","Sporting Goods_attribute_query_recall_at_k","Sporting Goods_basic_query_recall_at_k","Sporting Goods_natural_query_recall_at_k","Toys and Games_attribute_query_recall_at_k","Toys and Games_basic_query_recall_at_k","Toys and Games_natural_query_recall_at_k","attribute_query_recall_at_k","basic_query_recall_at_k","natural_query_recall_at_k","overall_recall_at_k"
"2025-06-04 16:33:48","21.2min","55002f95083d4762be26ff9bb66ad402","tfidf_fusion_gpt3.5_turbo_20250604_163348","LOCAL","experiments/experiment_pipeline.py","jchang","FINISHED","fusion_embedding","32","","FaissVectorRetrieval","ts_rank_cd","TextSearchRetrieval","benchmark_query","4000","0.5","products_1m","0.5","20","0.4","0.2","0.4","0.7","0","0.3","0.9","0.6","0.6","0.7","0.7","0.8","0.7","0.5","0.7","0.9","0.3","0.4","0.6","0.4","0.6","0.3","0.2","0.2","0.9","0.7","0.9","0.9","0.5","0.9","0.7","0.41","0.58","0.56"
"2025-06-03 20:00:22","3.0min","feff80ff55534b53a0d7526bb4c56418","tfidf_fusion_20250603_200022","LOCAL","experiments/experiment_pipeline.py","jchang","FINISHED","fusion_embedding","32","","FaissVectorRetrieval","ts_rank_cd","TextSearchRetrieval","benchmark_query","4000","0.5","products_1m","0.5","20","0.4","0.2","0.3","0.6","0","0.3","0.9","0.5","0.6","0.7","0.5","0.7","0.7","0.4","0.6","0.8","0.2","0.3","0.6","0.3","0.6","0.3","0.1","0.2","0.9","0.6","0.9","0.9","0.5","0.8","0.68","0.33","0.53","0.51"
"2025-06-03 19:58:53","1.5min","d120ef4eccf1406ebdf4798a27b514b8","tfidf_20250603_195853","LOCAL","experiments/experiment_pipeline.py","jchang","FINISHED","","","ts_rank_cd","TextSearchRetrieval","","","benchmark_query","None","","products_1m","1","20","0.5","0.4","0.1","0.6","0.2","0","0.8","0.5","0.3","0.8","0.8","0.3","0.7","0.3","0","0.8","0.2","0","0.2","0.3","0","0.1","0.3","0","0.8","0.6","0","0.5","0.6","0","0.58","0.42","0.07","0.36"
